InvestorId;InvestmentId;InvestmentType;ISIN;City;FondsInvestor
Investor0;Investment44789;Fonds;;;Fonds1
Investor1;Investment38882;Fonds;;;Fonds5
Investor2;Investment38011;Fonds;;;Fonds3
Investor3;Investment44081;Fonds;;;Fonds12
Investor4;Investment42095;Fonds;;;Fonds17
Investor5;Investment46266;Fonds;;;Fonds18
Investor6;Investment35676;Fonds;;;Fonds1
Investor7;Investment46461;Fonds;;;Fonds14
Investor8;Investment49950;Fonds;;;Fonds15
Investor9;Investment44147;Fonds;;;Fonds17
Investor10;Investment32333;Fonds;;;Fonds0
Investor11;Investment45872;Fonds;;;Fonds12
Investor12;Investment48045;Fonds;;;Fonds1
Investor13;Investment34610;Fonds;;;Fonds16
Investor14;Investment37735;Fonds;;;Fonds9
Investor15;Investment48606;Fonds;;;Fonds13
Investor16;Investment32216;Fonds;;;Fonds13
Investor17;Investment49336;Fonds;;;Fonds10
Investor18;Investment36658;Fonds;;;Fonds8
Investor19;Investment39690;Fonds;;;Fonds9
Investor20;Investment34278;Fonds;;;Fonds14
Investor21;Investment39478;Fonds;;;Fonds16
Investor22;Investment42826;Fonds;;;Fonds4
Investor23;Investment46860;Fonds;;;Fonds13
Investor24;Investment38691;Fonds;;;Fonds5
Investor25;Investment41976;Fonds;;;Fonds16
Investor26;Investment32662;Fonds;;;Fonds10
Investor27;Investment35701;Fonds;;;Fonds8
Investor28;Investment30002;Fonds;;;Fonds10
Investor29;Investment37230;Fonds;;;Fonds16
Investor30;Investment42371;Fonds;;;Fonds1
Investor31;Investment42813;Fonds;;;Fonds18
Investor32;Investment47886;Fonds;;;Fonds10
Investor33;Investment33211;Fonds;;;Fonds4
Investor34;Investment43689;Fonds;;;Fonds6
Investor35;Investment32129;Fonds;;;Fonds3
Investor36;Investment40918;Fonds;;;Fonds11
Investor37;Investment39651;Fonds;;;Fonds3
Investor38;Investment42634;Fonds;;;Fonds5
Investor39;Investment34293;Fonds;;;Fonds0
Investor40;Investment38993;Fonds;;;Fonds2
Investor41;Investment33104;Fonds;;;Fonds5
Investor42;Investment48560;Fonds;;;Fonds18
Investor43;Investment33364;Fonds;;;Fonds2
Investor44;Investment34432;Fonds;;;Fonds7
Investor45;Investment46765;Fonds;;;Fonds14
Investor46;Investment46047;Fonds;;;Fonds4
Investor47;Investment34231;Fonds;;;Fonds0
Investor48;Investment36820;Fonds;;;Fonds11
Investor49;Investment46045;Fonds;;;Fonds5
Investor50;Investment45635;Fonds;;;Fonds7
Investor51;Investment30980;Fonds;;;Fonds3
Investor52;Investment47951;Fonds;;;Fonds10
Investor53;Investment49818;Fonds;;;Fonds10
Investor54;Investment45776;Fonds;;;Fonds16
Investor55;Investment39091;Fonds;;;Fonds15
Investor56;Investment48828;Fonds;;;Fonds14
Investor57;Investment36221;Fonds;;;Fonds14
Investor58;Investment35234;Fonds;;;Fonds10
Investor59;Investment48254;Fonds;;;Fonds1
Investor60;Investment48057;Fonds;;;Fonds2
Investor61;Investment35531;Fonds;;;Fonds16
Investor62;Investment48698;Fonds;;;Fonds9
Investor63;Investment35694;Fonds;;;Fonds18
Investor64;Investment44231;Fonds;;;Fonds7
Investor65;Investment47039;Fonds;;;Fonds10
Investor66;Investment49534;Fonds;;;Fonds7
Investor67;Investment44805;Fonds;;;Fonds18
Investor68;Investment48708;Fonds;;;Fonds12
Investor69;Investment45643;Fonds;;;Fonds14
Investor70;Investment47317;Fonds;;;Fonds9
Investor71;Investment42993;Fonds;;;Fonds7
Investor72;Investment46249;Fonds;;;Fonds14
Investor73;Investment31808;Fonds;;;Fonds5
Investor74;Investment37885;Fonds;;;Fonds4
Investor75;Investment31830;Fonds;;;Fonds1
Investor76;Investment39477;Fonds;;;Fonds8
Investor77;Investment35040;Fonds;;;Fonds16
Investor78;Investment40177;Fonds;;;Fonds9
Investor79;Investment35156;Fonds;;;Fonds0
Investor80;Investment35835;Fonds;;;Fonds15
Investor81;Investment43201;Fonds;;;Fonds9
Investor82;Investment38217;Fonds;;;Fonds11
Investor83;Investment41695;Fonds;;;Fonds6
Investor84;Investment31106;Fonds;;;Fonds8
Investor85;Investment48960;Fonds;;;Fonds15
Investor86;Investment33523;Fonds;;;Fonds15
